placeId;city;state;country;latitude;longitude;latitudeSchematic;longitudeSchematic
1;Zurich;Zurich;Switzerland;47.408365023823556;8.50722895429466;47.4741564584456;8.57464552637457
2;Zurich;Zurich;Switzerland;47.42109380967699;8.499773738441794;47.5104935206517;8.52992773001527
3;Zurich;Zurich;Switzerland;47.376378833333334;8.546761041666667;47.3402863601921;8.68498856379521
4;Zurich;Zurich;Switzerland;47.399057283626256;8.456167644455704;47.4263400919242;8.33857293864166
5;Zurich;Zurich;Switzerland;47.39281505275362;8.464780941594203;47.3995399941086;8.35597597651604
6;Zurich;Zurich;Switzerland;47.39853185833333;8.447393819999998;47.420722176642;8.317999885936
7;Zurich;Zurich;Switzerland;47.3804596775;8.426651912499999;47.3554108455488;8.28057830166945
8;Zurich;Zurich;Switzerland;47.41526299047619;8.480580704761906;47.4979121376121;8.44910820871113
9;Zurich;Zurich;Switzerland;47.40901925714286;8.463872351428572;47.469827586507;8.375314597999
10;Zurich;Zurich;Switzerland;47.40231065555556;8.496931819444443;47.4616118900536;8.5357047409116
11;Zurich;Zurich;Switzerland;47.41089885;8.545304770833335;47.457618975732;8.67764298454039
12;Zurich;Zurich;Switzerland;47.08597819446977;8.434881865588792;47.081068287187;8.43400000303545
13;Zurich;Zurich;Switzerland;47.398444225;8.460545225;47.4258177385583;8.34918375979241
14;Zurich;Zurich;Switzerland;47.406184557407414;8.396424300925926;47.4318118374957;8.23608230095691
15;Zurich;Zurich;Switzerland;47.41795181;8.545097876666665;47.4778625366029;8.66947003922253
16;Zurich;Zurich;Switzerland;47.377766336470586;8.5376858327451;47.3410606130911;8.66804088731711
19;Zurich;Zurich;Switzerland;47.37413293833333;8.549160041666667;47.3342164584894;8.68758924727207
